,Name of movie,Description,Genre,Stars
505,"4 Months, 3 Weeks and 2 Days",A woman assists her friend in arranging an illegal abortion in 1980s Romania.,Drama,7.9
506,Star Trek,The brash James T. Kirk tries to live up to his father's legacy with Mr. Spock keeping him in check as a vengeful Romulan from the future creates black holes to destroy the Federation one planet at a time.,Action Adventure Sci-Fi,7.9
507,In Bruges,"Guilt-stricken after a job gone wrong, hitman Ray and his partner await orders from their ruthless boss in Bruges, Belgium, the last place in the world Ray wants to be.",Comedy Crime Drama,7.9
508,The Man from Earth,An impromptu goodbye party for Professor John Oldman becomes a mysterious interrogation after the retiring scholar reveals to his colleagues he has a longer and stranger past than they can imagine.,Drama Fantasy Mystery,7.9
509,Letters from Iwo Jima,"The story of the battle of Iwo Jima between the United States and Imperial Japan during World War II, as told from the perspective of the Japanese who fought it.",Action Adventure Drama,7.9
510,Life of Pi,"A young man who survives a disaster at sea is hurtled into an epic journey of adventure and discovery. While cast away, he forms an unexpected connection with another survivor: a fearsome Bengal tiger.",Adventure Drama Fantasy,7.9
511,Fantastic Mr. Fox,An urbane fox cannot resist returning to his farm raiding ways and then must help his community survive the farmers' retaliation.,Animation Adventure Comedy,7.9
512,C.R.A.Z.Y.,"A young French Canadian, one of five boys in a conservative family in the 1960s and 1970s, struggles to reconcile his emerging identity with his father's values.",Comedy Drama,7.9
513,The Chorus,The new teacher at a severely administered boys' boarding school works to positively affect the students' lives through music.,Comedy Drama Music,7.9
514,Iron Man,"After being held captive in an Afghan cave, billionaire engineer Tony Stark creates a unique weaponized suit of armor to fight evil.",Action Adventure Sci-Fi,7.9
515,Shaun of the Dead,A man's uneventful life is disrupted by the zombie apocalypse.,Comedy Horror,7.9
516,Kal Ho Naa Ho,"Naina, an introverted, perpetually depressed girl's life changes when she meets Aman. But Aman has a secret of his own which changes their lives forever. Embroiled in all this is Rohit, Naina's best friend who conceals his love for her.",Comedy Drama Musical,7.9
517,Head-On,"With the intention to break free from the strict familial restrictions, a suicidal young woman sets up a marriage of convenience with a forty-year-old addict, an act that will lead to an outburst of envious love.",Drama Romance,7.9
518,Mystic River,The lives of three men who were childhood friends are shattered when one of them has a family tragedy.,Crime Drama Mystery,7.9
519,Harry Potter and the Prisoner of Azkaban,"Harry Potter, Ron and Hermione return to Hogwarts School of Witchcraft and Wizardry for their third year of study, where they delve into the mystery surrounding an escaped prisoner who poses a dangerous threat to the young wizard.",Adventure Family Fantasy,7.9
520,Hero,"A defense officer, Nameless, was summoned by the King of Qin regarding his success of terminating three warriors.",Action Adventure History,7.9
521,Millennium Actress,A TV interviewer and his cameraman meet a former actress and travel through her memories and career.,Animation Drama Fantasy,7.9
522,Talk to Her,Two men share an odd friendship while they care for two women who are both in deep comas.,Drama Mystery Romance,7.9
523,No Man's Land,"Bosnia and Herzegovina during 1993 at the time of the heaviest fighting between the two warring sides. Two soldiers from opposing sides in the conflict, Nino and Ciki, become trapped in no man's land, whilst a third soldier becomes a living booby trap.",Comedy Drama War,7.9
524,Cowboy Bebop: The Movie,"A terrorist explosion releases a deadly virus on the masses, and it's up the bounty-hunting Bebop crew to catch the cold-blooded culprit.",Animation Action Crime,7.9
525,The Bourne Identity,"A man is picked up by a fishing boat, bullet-riddled and suffering from amnesia, before racing to elude assassins and attempting to regain his memory.",Action Mystery Thriller,7.9
526,Nine Queens,"Two con artists try to swindle a stamp collector by selling him a sheet of counterfeit rare stamps (the ""nine queens"").",Crime Drama Thriller,7.9
527,Children of Men,"In 2027, in a chaotic world in which women have become somehow infertile, a former activist agrees to help transport a miraculously pregnant woman to a sanctuary at sea.",Action Sci-Fi Thriller,7.9
528,All About My Mother,"Young Esteban wants to become a writer and also to discover the identity of his second mother, a trans woman, carefully concealed by his mother Manuela.",Drama,7.9
529,Almost Famous,A high-school boy is given the chance to write a story for Rolling Stone Magazine about an up-and-coming rock band as he accompanies them on their concert tour.,Adventure Comedy Drama,7.9
530,Mulholland Drive,"After a car wreck on the winding Mulholland Drive renders a woman amnesiac, she and a perky Hollywood-hopeful search for clues and answers across Los Angeles in a twisting venture beyond dreams and reality.",Drama Mystery Thriller,7.9
531,Shrek,"A mean lord exiles fairytale creatures to the swamp of a grumpy ogre, who must go on a quest and rescue a princess for the lord in order to get his land back.",Animation Adventure Comedy,7.9
532,Toy Story 2,"When Woody is stolen by a toy collector, Buzz and his friends set out on a rescue mission to save Woody before he becomes a museum toy property with his roundup gang Jessie, Prospector, and Bullseye.",Animation Adventure Comedy,7.9
533,Knockin' on Heaven's Door,"Two terminally ill patients escape from a hospital, steal a car and rush towards the sea.",Action Crime Comedy,7.9
534,Boogie Nights,"Back when sex was safe, pleasure was a business and business was booming, an idealistic porn producer aspires to elevate his craft to an art when he discovers a hot young talent.",Drama,7.9
535,Whisper of the Heart,"A love story between a girl who loves reading books, and a boy who has previously checked out all of the library books she chooses.",Animation Drama Family,7.9
536,Once Were Warriors,A family descended from Maori warriors is bedeviled by a violent father and the societal problems of being treated as outcasts.,Crime Drama,7.9
537,True Romance,"In Detroit, a lonely pop culture geek marries a call girl, steals cocaine from her pimp, and tries to sell it in Hollywood. Meanwhile, the owners of the cocaine, the Mob, track them down in an attempt to reclaim it.",Crime Drama Romance,7.9
538,Three Colors: Blue,A woman struggles to find a way to live her life after the death of her husband and child.,Drama Music Mystery,7.9
539,Ninja Scroll,A vagabond swordsman is aided by a beautiful ninja girl and a crafty spy in confronting a demonic clan of killers - with a ghost from his past as their leader - who are bent on overthrowing the Tokugawa Shogunate.,Animation Action Adventure,7.9
540,Carlito's Way,"A Puerto Rican former convict, just released from prison, pledges to stay away from drugs and violence despite the pressure around him and lead on to a better life outside of N.Y.C.",Crime Drama Thriller,7.9
541,Edward Scissorhands,"An artificial man, who was incompletely constructed and has scissors for hands, leads a solitary life. Then one day, a suburban lady meets him and introduces him to her world.",Drama Fantasy Romance,7.9
542,My Left Foot,"Christy Brown, born with cerebral palsy, learns to paint and write with his only controllable limb - his left foot.",Biography Drama,7.9
543,Kiki's Delivery Service,"A young witch, on her mandatory year of independent life, finds fitting into a new community difficult while she supports herself by running an air courier service.",Animation Adventure Drama,7.9
544,Crimes and Misdemeanors,An ophthalmologist's mistress threatens to reveal their affair to his wife while a married documentary filmmaker is infatuated with another woman.,Comedy Drama,7.9
545,The Untouchables,"During the era of Prohibition in the United States, Federal Agent Eliot Ness sets out to stop ruthless Chicago gangster Al Capone and, because of rampant corruption, assembles a small, hand-picked team to help him.",Crime Drama Thriller,7.9
546,Hannah and Her Sisters,"Between two Thanksgivings two years apart, Hannah's husband falls in love with her sister Lee, while her hypochondriac ex-husband rekindles his relationship with her sister Holly.",Comedy Drama,7.9
547,Brazil,A bureaucrat in a dystopic society becomes an enemy of the state as he pursues the woman of his dreams.,Drama Sci-Fi,7.9
548,This Is Spinal Tap,"Spinal Tap, one of England's loudest bands, is chronicled by film director Marty DiBergi on what proves to be a fateful tour.",Comedy Music,7.9
549,A Christmas Story,"In the 1940s, a young boy named Ralphie attempts to convince his parents, his teacher and Santa that a Red Ryder BB gun really is the perfect Christmas gift.",Comedy Family,7.9
550,The Blues Brothers,"Jake Blues, just released from prison, puts together his old band to save the Catholic home where he and his brother Elwood were raised.",Action Adventure Comedy,7.9
551,Manhattan,The life of a divorced television writer dating a teenage girl is further complicated when he falls in love with his best friend's mistress.,Comedy Drama Romance,7.9
552,All That Jazz,"Director/choreographer Bob Fosse tells his own life story as he details the sordid career of Joe Gideon, a womanizing, drug-using dancer.",Drama Music Musical,7.9
553,Dawn of the Dead,"Following an ever-growing epidemic of zombies that have risen from the dead, two Philadelphia S.W.A.T. team members, a traffic reporter, and his television executive girlfriend seek refuge in a secluded shopping mall.",Horror Thriller,7.9
554,The Holy Mountain,"In a corrupt, greed-fueled world, a powerful alchemist leads a messianic character and seven materialistic figures to the Holy Mountain, where they hope to achieve enlightenment.",Adventure Drama Fantasy,7.9
555,Amarcord,A series of comedic and nostalgic vignettes set in a 1930s Italian coastal town.,Comedy Drama,7.9
556,The Discreet Charm of the Bourgeoisie,"A surreal, virtually plotless series of dreams centered around six middle-class people and their consistently interrupted attempts to have a meal together.",Comedy,7.9
557,"Aguirre, the Wrath of God","In the 16th century, the ruthless and insane Don Lope de Aguirre leads a Spanish expedition in search of El Dorado.",Action Adventure Biography,7.9
558,Harold and Maude,"Young, rich, and obsessed with death, Harold finds himself changed forever when he meets lively septuagenarian Maude at a funeral.",Comedy Drama Romance,7.9
559,Patton,The World War II phase of the career of controversial American general George S. Patton.,Biography Drama War,7.9
560,The Wild Bunch,"An aging group of outlaws look for one last big score as the ""traditional"" American West is disappearing around them.",Action Adventure Western,7.9
561,Night of the Living Dead,A ragtag group of Pennsylvanians barricade themselves in an old farmhouse to remain safe from a horde of flesh-eating ghouls that are ravaging the East Coast of the United States.,Horror Thriller,7.9
562,The Lion in Winter,"1183 A.D.: King Henry II's three sons all want to inherit the throne, but he won't commit to a choice. They and his wife variously plot to force him.",Biography Drama History,7.9
563,In the Heat of the Night,A black police detective is asked to investigate a murder in a racially hostile southern town.,Crime Drama Mystery,7.9
564,Charade,Romance and suspense ensue in Paris as a woman is pursued by several men who want a fortune her murdered husband had stolen. Whom can she trust?,Comedy Mystery Romance,7.9
565,The Manchurian Candidate,A former prisoner of war is brainwashed as an unwitting assassin for an international Communist conspiracy.,Drama Thriller,7.9
566,Spartacus,The slave Spartacus leads a violent revolt against the decadent Roman Republic.,Adventure Biography Drama,7.9
567,L'Avventura,"A woman disappears during a Mediterranean boating trip. During the search, her lover and her best friend become attracted to each other.",Drama Mystery Romance,7.9
568,Hiroshima Mon Amour,A French actress filming an anti-war film in Hiroshima has an affair with a married Japanese architect as they share their differing perspectives on war.,Drama Romance,7.9
569,The Ten Commandments,"Moses, an Egyptian Prince, learns of his true heritage as a Hebrew and his divine mission as the deliverer of his people.",Adventure Drama,7.9
570,The Searchers,An American Civil War veteran embarks on a journey to rescue his niece from the Comanches.,Adventure Drama Western,7.9
571,East of Eden,"Two brothers struggle to maintain their strict, Bible-toting father's favor.",Drama,7.9
572,Harvey,"Due to his insistence that he has an invisible six foot-tall rabbit for a best friend, a whimsical middle-aged man is thought by his family to be insane - but he may be wiser than anyone knows.",Comedy Drama Fantasy,7.9
573,Miracle on 34th Street,"When a nice old man who claims to be Santa Claus is institutionalized as insane, a young lawyer decides to defend him by arguing in court that he is the real thing.",Comedy Drama Family,7.9
574,The Big Sleep,"Private detective Philip Marlowe is hired by a wealthy family. Before the complex case is over, he's seen murder, blackmail, and what might be love.",Crime Film-Noir Mystery,7.9
575,The Lost Weekend,The desperate life of a chronic alcoholic is followed through a four-day drinking bout.,Drama Film-Noir,7.9
576,The Philadelphia Story,"When a rich woman's ex-husband and a tabloid-type reporter turn up just before her planned remarriage, she begins to learn the truth about herself.",Comedy Romance,7.9
577,His Girl Friday,A newspaper editor uses every trick in the book to keep his ace reporter ex-wife from remarrying.,Comedy Drama Romance,7.9
578,Stagecoach,A group of people traveling on a stagecoach find their journey complicated by the threat of Geronimo and learn something about each other in the process.,Adventure Drama Western,7.9
579,Bringing Up Baby,"While trying to secure a $1 million donation for his museum, a befuddled paleontologist is pursued by a flighty and often irritating heiress and her pet leopard, Baby.",Comedy Family Romance,7.9
580,The Adventures of Robin Hood,"When Prince John and the Norman Lords begin oppressing the Saxon masses in King Richard's absence, a Saxon lord fights back as the outlaw leader of a rebel guerrilla army.",Action Adventure Romance,7.9
581,A Night at the Opera,A sly business manager and two wacky friends of two opera singers help them achieve success while humiliating their stuffy and snobbish enemies.,Comedy Music Musical,7.9
582,King Kong,A film crew goes to a tropical island for an exotic location shoot and discovers a colossal ape who takes a shine to their female blonde star. He is then captured and brought back to New York City for public exhibition.,Adventure Horror Sci-Fi,7.9
583,Freaks,"A circus' beautiful trapeze artist agrees to marry the leader of side-show performers, but his deformed friends discover she is only marrying him for his inheritance.",Drama Horror,7.9
584,Nosferatu,Vampire Count Orlok expresses interest in a new residence and real estate agent Hutter's wife.,Fantasy Horror,7.9
585,The Gentlemen,"An American expat tries to sell off his highly profitable marijuana empire in London, triggering plots, schemes, bribery and blackmail in an attempt to steal his domain out from under him.",Action Comedy Crime,7.8
586,Badla,A dynamic young entrepreneur finds herself locked in a hotel room with the corpse of her dead lover. She hires a prestigious lawyer to defend her and they work together to figure out what actually happened.,Crime Drama Mystery,7.8
587,Raazi,A Kashmiri woman agrees to marry a Pakistani army officer in order to spy on Pakistan during the Indo-Pakistan War of 1971.,Action Drama Thriller,7.8
588,Sound of Metal,A heavy-metal drummer's life is thrown into freefall when he begins to lose his hearing.,Drama Music,7.8
589,Dunkirk,"Allied soldiers from Belgium, the British Commonwealth and Empire, and France are surrounded by the German Army and evacuated during a fierce battle in World War II.",Action Drama History,7.8
590,Perfect Strangers,"Seven long-time friends meet for dinner. They decide to share their text messages, emails and phone calls. Secrets are unveiled. Harmony trembles.",Comedy Drama,7.8
591,Hidden Figures,The story of a team of female African-American mathematicians who served a vital role in NASA during the early years of the U.S. space program.,Biography Drama History,7.8
592,Paddington 2,"Paddington, now happily settled with the Brown family and a popular member of the local community, picks up a series of odd jobs to buy the perfect present for his Aunt Lucy's 100th birthday, only for the gift to be stolen.",Animation Adventure Comedy,7.8
593,Udta Punjab,A story that revolves around drug abuse in the affluent north Indian State of Punjab and how the youth there have succumbed to it en-masse resulting in a socio-economic decline.,Action Crime Drama,7.8
594,Kubo and the Two Strings,A young boy named Kubo must locate a magical suit of armour worn by his late father in order to defeat a vengeful spirit from the past.,Animation Action Adventure,7.8
595,Manchester by the Sea,A depressed uncle is asked to take care of his teenage nephew after the boy's father dies.,Drama,7.8
596,Land of Mine,"In post-World War II Denmark, a group of young German POWs are forced to clear a beach of thousands of land mines under the watch of a Danish Sergeant who slowly learns to appreciate their plight.",Drama History War,7.8
597,Rogue One: A Star Wars Story,"In a time of conflict, a group of unlikely heroes band together on a mission to steal the plans to the Death Star, the Empire's ultimate weapon of destruction.",Action Adventure Sci-Fi,7.8
598,Captain America: Civil War,Political involvement in the Avengers' affairs causes a rift between Captain America and Iron Man.,Action Adventure Sci-Fi,7.8
599,The Hateful Eight,"In the dead of a Wyoming winter, a bounty hunter and his prisoner find shelter in a cabin currently inhabited by a collection of nefarious characters.",Crime Drama Mystery,7.8
600,Little Women,"Jo March reflects back and forth on her life, telling the beloved story of the March sisters - four young women, each determined to live life on her own terms.",Drama Romance,7.8
601,Loving Vincent,"In a story depicted in oil painted animation, a young man comes to the last hometown of painter Vincent van Gogh (Robert Gulaczyk) to deliver the troubled artist's final letter and ends up investigating his final days there.",Animation Biography Crime,7.8
602,Pride,U.K. gay activists work to help miners during their lengthy strike of the National Union of Mineworkers in the summer of 1984.,Biography Comedy Drama,7.8
603,Nightcrawler,"When Louis Bloom, a con man desperate for work, muscles into the world of L.A. crime journalism, he blurs the line between observer and participant to become the star of his own story.",Crime Drama Thriller,7.8
604,Star Wars: Episode VII - The Force Awakens,"As a new threat to the galaxy rises, Rey, a desert scavenger, and Finn, an ex-stormtrooper, must join Han Solo and Chewbacca to search for the one hope of restoring peace.",Action Adventure Sci-Fi,7.8
605,The Great Beauty,"Jep Gambardella has seduced his way through the lavish nightlife of Rome for decades, but after his 65th birthday and a shock from the past, Jep looks past the nightclubs and parties to find a timeless landscape of absurd, exquisite beauty.",Drama,7.8
606,The Lunchbox,A mistaken delivery in Mumbai's famously efficient lunchbox delivery system connects a young housewife to an older man in the dusk of his life as they build a fantasy world together through notes in the lunchbox.,Drama Romance,7.8
607,Vicky Donor,"A man is brought in by an infertility doctor to supply him with his sperm, where he becomes the biggest sperm donor for his clinic.",Comedy Romance,7.8
608,Big Hero 6,"A special bond develops between plus-sized inflatable robot Baymax and prodigy Hiro Hamada, who together team up with a group of friends to form a band of high-tech heroes.",Animation Action Adventure,7.8
609,Kai Po Che,Three friends growing up in India at the turn of the millennium set out to open a training academy to produce the country's next cricket stars.,Drama Sport,7.8
610,About Time,"At the age of 21, Tim discovers he can travel in time and change what happens and has happened in his own life. His decision to make his world a better place by getting a girlfriend turns out not to be as easy as you might think.",Comedy Drama Fantasy,7.8
611,English Vinglish,"A quiet, sweet tempered housewife endures small slights from her well-educated husband and daughter every day because of her inability to speak and understand English.",Comedy Drama Family,7.8
612,The Wind Rises,"A look at the life of Jiro Horikoshi, the man who designed Japanese fighter planes during World War II.",Animation Biography Drama,7.8
613,The Best Offer,A lonely art expert working for a mysterious and reclusive heiress finds not only her art worth examining.,Crime Drama Mystery,7.8
614,Moonrise Kingdom,"A pair of young lovers flee their New England town, which causes a local search party to fan out to find them.",Comedy Drama Romance,7.8
615,How to Train Your Dragon 2,"When Hiccup and Toothless discover an ice cave that is home to hundreds of new wild dragons and the mysterious Dragon Rider, the two friends find themselves at the center of a battle to protect the peace.",Animation Action Adventure,7.8
616,The Big Short,"In 2006-2007 a group of investors bet against the US mortgage market. In their research, they discover how flawed and corrupt the market is.",Biography Comedy Drama,7.8
617,I Saw the Devil,A secret agent exacts revenge on a serial killer through a series of captures and releases.,Action Crime Drama,7.8
618,The Girl with the Dragon Tattoo,"Journalist Mikael Blomkvist is aided in his search for a woman who has been missing for forty years by Lisbeth Salander, a young computer hacker.",Crime Drama Mystery,7.8
619,Captain Phillips,"The true story of Captain Richard Phillips and the 2009 hijacking by Somali pirates of the U.S.-flagged MV Maersk Alabama, the first American cargo ship to be hijacked in two hundred years.",Adventure Biography Crime,7.8
620,The Man from Nowhere,A quiet pawnshop keeper with a violent past takes on a drug-and-organ trafficking ring in hope of saving the child who is his only friend.,Action Crime Drama,7.8
621,Straight Outta Compton,"The rap group NWA emerges from the mean streets of Compton in Los Angeles, California, in the mid-1980s and revolutionizes Hip Hop culture with their music and tales about life in the hood.",Biography Drama History,7.8
622,The Irishman,Hitman Frank Sheeran looks back at the secrets he kept as a loyal member of the Bufalino crime family.,Biography Crime Drama,7.8
623,Mother,A mother desperately searches for the killer who framed her son for a girl's horrific murder.,Crime Drama Mystery,7.8
624,The Chaser,A disgraced ex-policeman who runs a small ring of prostitutes finds himself in a race against time when one of his women goes missing.,Action Crime Thriller,7.8
625,Moon,"Astronaut Sam Bell has a quintessentially personal encounter toward the end of his three-year stint on the Moon, where he, working alongside his computer, GERTY, sends back to Earth parcels of a resource that has helped diminish our planet's power problems.",Drama Mystery Sci-Fi,7.8
626,The Hobbit: The Desolation of Smaug,"The dwarves, along with Bilbo Baggins and Gandalf the Grey, continue their quest to reclaim Erebor, their homeland, from Smaug. Bilbo Baggins is in possession of a mysterious and magical ring.",Adventure Fantasy,7.8
627,The White Ribbon,"Strange events happen in a small village in the north of Germany during the years before World War I, which seem to be ritual punishment. Who is responsible?",Drama History Mystery,7.8
628,The Girl with the Dragon Tattoo,A journalist is aided by a young female hacker in his search for the killer of a woman who has been dead for forty years.,Crime Drama Mystery,7.8
629,The Trial of the Chicago 7,"The story of 7 people on trial stemming from various charges surrounding the uprising at the 1968 Democratic National Convention in Chicago, Illinois.",Drama History Thriller,7.8
630,Another Round,Four high school teachers consume alcohol on a daily basis to see how it affects their social and professional lives.,Comedy Drama,7.8
631,The Fighter,"Based on the story of Micky Ward, a fledgling boxer who tries to escape the shadow of his more famous but troubled older boxing brother and get his own shot at greatness.",Biography Drama Sport,7.8
632,Taken,"A retired CIA agent travels across Europe and relies on his old skills to save his estranged daughter, who has been kidnapped while on a trip to Paris.",Action Crime Thriller,7.8
633,The Boy in the Striped Pajamas,"Through the innocent eyes of Bruno, the eight-year-old son of the commandant at a German concentration camp, a forbidden friendship with a Jewish boy on the other side of the camp fence has startling and unexpected consequences.",Drama History War,7.8
634,Once,"A modern-day musical about a busker and an immigrant and their eventful week in Dublin, as they write, rehearse and record songs that tell their love story.",Drama Music Romance,7.8
635,The Hobbit: An Unexpected Journey,"A reluctant Hobbit, Bilbo Baggins, sets out to the Lonely Mountain with a spirited group of dwarves to reclaim their mountain home, and the gold within it from the dragon Smaug.",Adventure Fantasy,7.8
636,The Edge of Heaven,A Turkish man travels to Istanbul to find the daughter of his father's former girlfriend.,Drama,7.8
637,Atonement,Thirteen-year-old fledgling writer Briony Tallis irrevocably changes the course of several lives when she accuses her older sister's lover of a crime he did not commit.,Drama Mystery Romance,7.8
638,Drive,An action drama about a mysterious Hollywood stuntman and mechanic moonlighting as a getaway driver finding himself in trouble when he helps out his neighbor.,Crime Drama,7.8
639,American Gangster,"An outcast New York City cop is charged with bringing down Harlem drug lord Frank Lucas, whose real life inspired this partly biographical film.",Biography Crime Drama,7.8
640,Avatar,A paraplegic Marine dispatched to the moon Pandora on a unique mission becomes torn between following his orders and protecting the world he feels is his home.,Action Adventure Fantasy,7.8
641,Mr. Nobody,"A boy stands on a station platform as a train is about to leave. Should he go with his mother or stay with his father? Infinite possibilities arise from this decision. As long as he doesn't choose, anything is possible.",Drama Fantasy Romance,7.8
642,Apocalypto,"As the Mayan kingdom faces its decline, a young man is taken on a perilous journey to a world ruled by fear and oppression.",Action Adventure Drama,7.8
643,The Fall,"In a hospital on the outskirts of 1920s Los Angeles, an injured stuntman begins to tell a fellow patient, a little girl with a broken arm, a fantastic story of five mythical heroes. Thanks to his fractured state of mind and her vivid imagination, the line between fiction and reality blurs as the tale advances.",Adventure Drama Fantasy,7.8
644,Little Miss Sunshine,A family determined to get their young daughter into the finals of a beauty pageant take a cross-country trip in their VW bus.,Comedy Drama,7.8
645,Hot Fuzz,A skilled London police officer is transferred to a small town with a dark secret.,Action Comedy Mystery,7.8
646,The Curious Case of Benjamin Button,"Tells the story of Benjamin Button, a man who starts aging backwards with consequences.",Drama Fantasy Romance,7.8
647,Veer-Zaara,"Veer-Zaara is a saga of love, separation, courage and sacrifice. A love story that is an inspiration and will remain a legend forever.",Drama Family Musical,7.8
648,Adam's Apples,A neo-nazi sentenced to community service at a church clashes with the blindly devotional priest.,Comedy Crime Drama,7.8
649,Pride & Prejudice,"Sparks fly when spirited Elizabeth Bennet meets single, rich, and proud Mr. Darcy. But Mr. Darcy reluctantly finds himself falling in love with a woman beneath his class. Can each overcome their own pride and prejudice?",Drama Romance,7.8
650,The World's Fastest Indian,"The story of New Zealander Burt Munro, who spent years rebuilding a 1920 Indian motorcycle, which helped him set the land speed world record at Utah's Bonneville Salt Flats in 1967.",Biography Drama Sport,7.8
651,Tokyo Godfathers,"On Christmas Eve, three homeless people living on the streets of Tokyo discover a newborn baby among the trash and set out to find its parents.",Animation Adventure Comedy,7.8
652,Serenity,The crew of the ship Serenity try to evade an assassin sent to recapture telepath River.,Action Adventure Sci-Fi,7.8
653,Walk the Line,"A chronicle of country music legend Johnny Cash's life, from his early days on an Arkansas cotton farm to his rise to fame with Sun Records in Memphis, where he recorded alongside Elvis Presley, Jerry Lee Lewis, and Carl Perkins.",Biography Drama Music,7.8
654,Evil,"A teenage boy expelled from school for fighting arrives at a boarding school where the systematic bullying of younger students is encouraged as a means to maintain discipline, and decides to fight back.",Drama,7.8
655,The Notebook,"A poor yet passionate young man falls in love with a rich young woman, giving her a sense of freedom, but they are soon separated because of their social differences.",Drama Romance,7.8
656,The Motorcycle Diaries,The dramatization of a motorcycle road trip Che Guevara went on in his youth that showed him his life's calling.,Adventure Biography Drama,7.8
657,Lilya 4-Ever,"Sixteen-year-old Lilja and her only friend, the young boy Volodja, live in Russia, fantasizing about a better life. One day, Lilja falls in love with Andrej, who is going to Sweden, and invites Lilja to come along and start a new life.",Crime Drama,7.8
658,The Triplets of Belleville,"When her grandson is kidnapped during the Tour de France, Madame Souza and her beloved pooch Bruno team up with the Belleville Sisters--an aged song-and-dance team from the days of Fred Astaire--to rescue him.",Animation Comedy Drama,7.8
659,Joint Security Area,"After a shooting incident at the North/South Korean border/DMZ leaves 2 North Korean soldiers dead, a neutral Swiss/Swedish team investigates, what actually happened.",Action Drama Thriller,7.8
660,Waking Life,A man shuffles through a dream meeting various people and discussing the meanings and purposes of the universe.,Animation Drama Fantasy,7.8
661,Remember the Titans,The true story of a newly appointed African-American coach and his high school team on their first season as a racially integrated unit.,Biography Drama Sport,7.8
662,"Crouching Tiger, Hidden Dragon",A young Chinese warrior steals a sword from a famed swordsman and then escapes into a world of romantic adventure with a mysterious man in the frontier of the nation.,Action Adventure Fantasy,7.8
663,Cast Away,A FedEx executive undergoes a physical and emotional transformation after crash landing on a deserted island.,Adventure Drama Romance,7.8
664,The Insider,A research chemist comes under personal and professional attack when he decides to appear in a 60 Minutes exposé on Big Tobacco.,Biography Drama Thriller,7.8
665,October Sky,"The true story of Homer Hickam, a coal miner's son who was inspired by the first Sputnik launch to take up rocketry against his father's wishes.",Biography Drama Family,7.8
666,Titanic,"A seventeen-year-old aristocrat falls in love with a kind but poor artist aboard the luxurious, ill-fated R.M.S. Titanic.",Drama Romance,7.8
667,Taste of Cherry,An Iranian man drives his truck in search of someone who will quietly bury him under a cherry tree after he commits suicide.,Drama,7.8
668,Fireworks,"Nishi leaves the police in the face of harrowing personal and professional difficulties. Spiraling into depression, he makes questionable decisions.",Crime Drama Romance,7.8
669,Gattaca,A genetically inferior man assumes the identity of a superior one in order to pursue his lifelong dream of space travel.,Drama Sci-Fi Thriller,7.8
670,Breaking the Waves,"Oilman Jan is paralyzed in an accident. His wife, who prayed for his return, feels guilty; even more, when Jan urges her to have sex with another.",Drama,7.8
671,Ed Wood,"Ambitious but troubled movie director Edward D. Wood Jr. tries his best to fulfill his dreams, despite his lack of talent.",Biography Comedy Drama,7.8
672,Tombstone,"A successful lawman's plans to retire anonymously in Tombstone, Arizona are disrupted by the kind of outlaws he was famous for eliminating.",Action Biography Drama,7.8
673,The Sandlot,"In the summer of 1962, a new kid in town is taken under the wing of a young baseball prodigy and his rowdy team, resulting in many adventures.",Comedy Drama Family,7.8
674,The Remains of the Day,A butler who sacrificed body and soul to service in the years leading up to World War II realizes too late how misguided his loyalty was to his lordly employer.,Drama Romance,7.8
675,Naked,An unemployed Mancunian vents his rage on unsuspecting strangers as he embarks on a nocturnal London odyssey.,Comedy Drama,7.8
676,The Fugitive,"Dr. Richard Kimble, unjustly accused of murdering his wife, must find the real killer while being the target of a nationwide manhunt led by a seasoned U.S. Marshal.",Action Crime Drama,7.8
677,A Bronx Tale,A father becomes worried when a local gangster befriends his son in the Bronx in the 1960s.,Crime Drama Romance,7.8
678,Batman: Mask of the Phantasm,Batman is wrongly implicated in a series of murders of mob bosses actually done by a new vigilante assassin.,Animation Action Crime,7.8
679,Hard Boiled,A tough-as-nails cop teams up with an undercover agent to shut down a sinister mobster and his crew.,Action Crime Thriller,7.8
680,The Double Life of Véronique,"Two parallel stories about two identical women; one living in Poland, the other in France. They don't know each other, but their lives are nevertheless profoundly connected.",Drama Fantasy Music,7.8
681,Boyz n the Hood,"Follows the lives of three young males living in the Crenshaw ghetto of Los Angeles, dissecting questions of race, relationships, violence, and future prospects.",Crime Drama,7.8
682,Misery,"After a famous author is rescued from a car crash by a fan of his novels, he comes to realize that the care he is receiving is only the beginning of a nightmare of captivity and abuse.",Drama Thriller,7.8
683,Awakenings,"The victims of an encephalitis epidemic many years ago have been catatonic ever since, but now a new drug offers the prospect of reviving them.",Biography Drama,7.8
684,Glory,"Robert Gould Shaw leads the U.S. Civil War's first all-black volunteer company, fighting prejudices from both his own Union Army, and the Confederates.",Biography Drama History,7.8
685,The Killer,A disillusioned assassin accepts one last hit in hopes of using his earnings to restore vision to a singer he accidentally blinded.,Action Crime Drama,7.8
686,Back to the Future Part II,"After visiting 2015, Marty McFly must repeat his visit to 1955 to prevent disastrous changes to 1985...without interfering with his first trip.",Adventure Comedy Sci-Fi,7.8
687,Mississippi Burning,Two F.B.I. Agents with wildly different styles arrive in Mississippi to investigate the disappearance of some civil rights activists.,Crime Drama History,7.8
